video,start_time,end_time,name
eyof_2025-02-10.mkv,18:45,23:19,race_002
eyof_2025-02-10.mkv,23:21,30:26,race_003
eyof_2025-02-10.mkv,1:29:40,1:35:02,race_012
eyof_2025-02-10.mkv,1:35:25,1:41:32,race_013
eyof_2025-02-10.mkv,2:14:21,2:20:43,race_017
eyof_2025-02-10.mkv,11:50,2:40:00,day1
day2.mkv,04:00,07:00,race_024
day2.mkv,12:45,15:32,race_027
day2.mkv,1:08:17,1:10:30,race_038
2025-02-12 11-39-26.mkv,24:31,29:51,ilona_short_program
